 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 5.4924e+08   Inhib.Clock = 1.87177e+08   Live = 0.340792
Backgr.clock = 1.51349e+09    Backgr.Inhib.clock = 5.07553e+08  Live = 0.335354
Background scale factor = 0.368782

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
 322     0       16    22185    0.0000 +- 0.0000   0.0000 +- 0.0000
 323     0        8    15785    0.0000 +- 0.0000   0.0000 +- 0.0000
 324     0        7    13966    0.0000 +- 0.0000   0.0000 +- 0.0000
 325     0        9    21663    0.0000 +- 0.0000   0.0000 +- 0.0000
 326     0       15    21724    0.0000 +- 0.0000   0.0000 +- 0.0000
 327     0       15    23519    0.0000 +- 0.0000   0.0000 +- 0.0000
 328     0       18    25561    0.0000 +- 0.0000   0.0000 +- 0.0000
 329     0       17    25444    0.0000 +- 0.0000   0.0000 +- 0.0000
 330     0        9    25908    0.0000 +- 0.0000   0.0000 +- 0.0000
 331     0        9    26487    0.0000 +- 0.0000   0.0000 +- 0.0000
 332     0       15    24329    0.0000 +- 0.0000   0.0000 +- 0.0000
 333     0       16    25124    0.0000 +- 0.0000   0.0000 +- 0.0000
 334     0       12    31489    0.0000 +- 0.0000   0.0000 +- 0.0000
 335     0       16    30987    0.0000 +- 0.0000   0.0000 +- 0.0000
 336     0        9    31288    0.0000 +- 0.0000   0.0000 +- 0.0000
 337     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 338     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 339     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 340     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 341     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 342     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 343     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 344     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 345     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 346     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 347     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 348     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 349     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 350     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 351     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000

Mean tagging efficiency -0.0003 +-  0.0214
	                       0.0378 +-  0.0227 without background subtraction

