 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 7.35189e+08   Inhib.Clock = 3.26688e+08   Live = 0.444359
Backgr.clock = 5.63181e+08    Backgr.Inhib.clock = 1.91921e+08  Live = 0.340781
Background scale factor =   1.7022

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
 304  1763    13841       22    0.1274 +- 0.0032   0.1277 +- 0.0032
 305  1708    14464       32    0.1181 +- 0.0030   0.1185 +- 0.0030
 306  1631    15128       35    0.1078 +- 0.0028   0.1082 +- 0.0028
 307  2081    15292       41    0.1361 +- 0.0032   0.1367 +- 0.0032
 308   453    12656      196    0.0358 +- 0.0017   0.0368 +- 0.0018
 309  1565    16145       26    0.0969 +- 0.0026   0.0972 +- 0.0026
 310  1935    16275       16    0.1189 +- 0.0029   0.1191 +- 0.0029
 311  1947    15694       22    0.1241 +- 0.0030   0.1244 +- 0.0030
 312  1933    16255       21    0.1189 +- 0.0029   0.1192 +- 0.0029
 313  1903    16512       22    0.1152 +- 0.0028   0.1155 +- 0.0028
 314  1963    16095       21    0.1220 +- 0.0029   0.1222 +- 0.0029
 315  1988    16612       19    0.1197 +- 0.0028   0.1199 +- 0.0028
 316  1967    16773       18    0.1173 +- 0.0028   0.1175 +- 0.0028
 317  2059    17867       21    0.1152 +- 0.0027   0.1155 +- 0.0027
 318  2111    18228       14    0.1158 +- 0.0027   0.1160 +- 0.0027
 319  2219    17695       14    0.1254 +- 0.0028   0.1256 +- 0.0028
 320  2356    18802       21    0.1253 +- 0.0027   0.1255 +- 0.0027
 321  2450    19787       27    0.1238 +- 0.0027   0.1241 +- 0.0027
 322  2411    20008       20    0.1205 +- 0.0026   0.1207 +- 0.0026
 323  1608    13942       18    0.1153 +- 0.0030   0.1156 +- 0.0030
 324  1539    12726       17    0.1209 +- 0.0033   0.1212 +- 0.0033
 325  2390    19293       13    0.1239 +- 0.0027   0.1240 +- 0.0027
 326  2341    19361       22    0.1209 +- 0.0026   0.1211 +- 0.0027
 327  2606    21109       23    0.1235 +- 0.0026   0.1237 +- 0.0026
 328  2682    22672       27    0.1183 +- 0.0024   0.1185 +- 0.0024
 329  2733    23106       36    0.1183 +- 0.0024   0.1186 +- 0.0024
 330  2555    23446       25    0.1090 +- 0.0023   0.1092 +- 0.0023
 331  2465    23708       22    0.1040 +- 0.0022   0.1041 +- 0.0022
 332  2125    21132       21    0.1006 +- 0.0023   0.1007 +- 0.0023
 333  2269    21427       21    0.1059 +- 0.0023   0.1061 +- 0.0023
 334  3320    28308       35    0.1173 +- 0.0022   0.1175 +- 0.0022
 335  3368    28187       23    0.1195 +- 0.0022   0.1197 +- 0.0022
 336  3969    28420       21    0.1397 +- 0.0024   0.1398 +- 0.0024
 337     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 338     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 339     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 340     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 341     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 342     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 343     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 344     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 345     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 346     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 347     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 348     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 349     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 350     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 351     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000

Mean tagging efficiency  0.1406 +-  0.0005
	                       0.1391 +-  0.0005 without background subtraction

